id,category,question
1,credits,Արդշինբանկը ինչ տեսակի վարկեր է առաջարկում?
2,credits,Ինչ տոկոսադրույքով է հիփոթեքային վարկը Մելլաթ Բանկում?
3,credits,Արցախբանկում ուսանողական վարկ կա՞:
4,credits,Որքան է ավտովարկի առավելագույն գումարը Մելլաթ Բանկում?
5,credits,Ինչ ժամկետով է տրամադրվում սպառողական վարկը Արդշինբանկում?
6,credits,Արցախբանկը վերանորոգման վարկ ունի՞:
7,credits,Ինչ տոկոսադրույքով է արագ սպառողական վարկը Մելլաթ Բանկում?
8,credits,Արցախբանկում պետական ծրագրով վարկ կա՞:
9,credits,Ո՞ր բանկում է ամենացածր հիփոթեքային տոկոսադրույքը?
10,credits,Կարո՞ղ եմ դոլարով վարկ վերցնել Արցախբանկում?
11,credits,Ինչքան է արտոնյալ վարկի տոկոսադրույքը Մելլաթ Բանկում?
12,credits,Արդշինբանկում գրավով վարկ կա՞:
13,credits,Արցախբանկում տեղաբաշխման վարկեր կա՞ն զինվորականների համար?
14,credits,Ինչ պայմաններ են անհրաժեշտ վարկ ստանալու համար?
15,credits,Արդշինբանկում ինչ տեսակի ապահովագրություններ կան վարկերի համար?
16,deposits,Ինչ տոկոսադրույքով է դրամային ավանդը Արդշինբանկում?
17,deposits,Արցախբանկում ինչ տեսակի ավանդներ կան?
18,deposits,Մելլաթ Բանկում կարո՞ղ եմ դոլարով ավանդ բացել?
19,deposits,Ինչքան է ամենաբարձր տոկոսադրույքը դրամով Արդշինբանկում?
20,deposits,Արցախբանկում ռուբլով ավանդ կա՞:
21,deposits,Ինչքան է եվրոյով ավանդի տոկոսադրույքը Արդշինբանկում?
22,deposits,Ինչքան է ավանդի նվազագույն գումարը Արցախբանկում?
23,deposits,Ինչ ժամկետով է տրամադրվում ավանդը Արդշինբանկում?
24,deposits,Արցախբանկի ժամկետային ավանդի տոկոսադրույքը ինչքա՞ն է:
25,deposits,Ի՞նչ պետք է սեղմել:
26,deposits,Ինչպե՞ս սկսել:
27,branches,Արդշինբանկի կենտրոնական մասնաճյուղը որտե՞ղ է:
28,branches,Արցախբանկի մասնաճյուղների աշխատանքային ժամերը ինչքա՞ն են:
29,branches,Մելլաթ Բանկը որտե՞ղ է գտնվում:
30,branches,Արդշինբանկի Արաբկիր մասնաճյուղի հեռախոսահամարը ինչքա՞ն է:
32,branches,Արցախբանկի մասնաճյուղները շաբաթ օրերին բաց են՞:
33,branches,Արդշինբանկի Դավթաշեն մասնաճյուղի հասցեն ո՞րն է:
34,branches,Քանի՞ մասնաճյուղ ունի Մելլաթ Բանկը:
35,branches,Կարո՞ղ եմ իմանալ թե որ մասնաճյուղն է ամենամոտ ինձ:
36,branches,Արդշինբանկի Բյուզանդ մասնաճյուղի աշխատանքային ժամերը ո՞րն են:
37,branches,Արցախբանկի ո՞ր մասնաճյուղ կարող եմ դիմել:
38,branches,Ո՞ր ժամին է բացվում Արդշինբանկի Էրազ մասնաճյուղը:
39,branches,Արդշինբանկի Աղասյան մասնաճյուղի հեռախոսահամարը ո՞րն է:
40,out_of_scope,Ինչքա՞ն է դոլարի փոխարժեքը այսօր:
41,out_of_scope,Կարո՞ղ ես պիցցա պատվիրել:
42,out_of_scope,Ինչ եղանակ է այսօր:
43,out_of_scope,Կարո՞ղ ես բժշկի բաղադրատոմս ասել:
44,out_of_scope,Ո՞վ է Հայաստանի նախագահը:
45,out_of_scope,ԱՄԵՆԱ-ն ինչ վարկեր ունի՞:
46,out_of_scope,Կարո՞ղ ես ինձ համար կրիպտովալյուտա գնել:
47,out_of_scope,Ինչպե՞ս կարող եմ ապահովագրական պոլիս ձեռք բերել:
48,out_of_scope,Ինչ թեմայով կոնցերտներ կան Երևանում:
49,out_of_scope,Կարո՞ղ ես ինձ օգնել ռեզյումեի հարցում:
50,deposits,Արդշինբանկում կուտակային ավանդ կա՞:
